index,block_type,block,layer_name,ks_h,ks_w,ks_if,ks_of,if_h,if_w,if_ch,of_h,of_w,of_ch,stride,pad_l,pad_r,pad_h,pad_b,input_layer,ops,params,row_size(index),ks_row_size(index),wt(4index),(ps)conv,(ps)mean,pl(conv),pl(dconv)
0,1,blk1,blk1_conv1_3s2_sm,3,3,3,48,256,256,3,128,128,48,2,0,1,0,1,,21233664,1344,0.01171875,0.01171875,0.004943848,0,0,0,21233664
1,,,blk1_depconv2_3s1_sm,3,3,48,1,128,128,48,128,128,48,1,1,1,1,1,,7077888,480,0.09375,0.28125,0.001647949,0,0,7077888,0
2,,,blk1_mean,,,,,128,128,48,1,1,48,,,,,,,0,0,0,0,0,0,786624,0,0
3,,,blk1_conv3_1s1_sm,1,1,48,16,1,1,48,1,1,16,1,,,,,,768,784,0,0,0,1536,0,0,0
4,,,blk1_conv4_1s1_sm,1,1,16,48,1,1,16,128,128,48,1,,,,,1,12582912,816,0,0,0,787968,0,0,0
5,,,blk1_conv5_1s1,1,1,48,32,128,128,48,128,128,32,1,,,,,,25165824,1568,0.09375,0.09375,0.005859375,0,0,0,25165824
6,2,blk2,blk2_depconv1_3s1_sm,3,3,32,1,128,128,32,128,128,32,1,1,1,1,1,,4718592,320,0.0625,0.1875,0.001098633,0,0,4718592,0
7,,,blk2_mean,,,,,128,128,32,1,1,32,1,,,,,,0,0,0,0,0,0,524416,0,0
8,,,blk2_conv2_1s1_sm,1,1,32,16,1,1,32,1,1,16,1,,,,,,512,528,0,0,0,1024,0,0,0
9,,,blk2_conv3_1s1_sm,1,1,16,32,1,1,16,128,128,32,1,,,,,6,8388608,544,0,0,0,525312,0,0,0
10,,,blk2_conv4_1s1_add,1,1,32,32,128,128,32,128,128,32,1,,,,,5,16777216,1056,0.0625,0.0625,0.00390625,0,0,0,16777216
11,3,blk3,blk3_conv1_1s1_sm,1,1,32,144,128,128,32,128,128,144,1,,,,,,75497472,4752,0.0625,0.0625,0.017578125,0,0,0,75497472
12,,,blk3_depconv2_3s2_sm,3,3,144,1,128,128,144,64,64,144,2,0,1,0,1,,5308416,1440,0.28125,0.84375,0.004943848,0,0,5308416,0
13,,,blk3_mean,,,,,64,64,144,1,1,144,,,,,,,0,0,0,0,0,0,590400,0,0
