index,module,layer_name,input_layer,input_layer_size,conv_type,kernel_size,strides,padding,bias_fold_size,clip,output_layer_size,relu
1,conv,conv1,image_input,"(1,360,640,3)",conv,"(24,3,3,3)",2,SAME,24,10,"(1,180,320,24)",1
2,pool,pool1,conv1,"(1,180,320,24)",pool,"(2,2)",2,SAME,0,0,"(1,90,160,24)",0
3,module d,stage_1_1_left_a,pool1,"(1,90,160,24)",depthwise_conv,"(1,3,3,24)",2,SAME,24,5,"(1,45,80,24)",0
4,,stage_1_1_left_b,stage_1_1_left_a,"(1,45,80,24)",conv,"(64,1,1,24)",1,SAME,64,7,"(1,45,80,64)",1
5,,stage_1_1_right_a,pool1,"(1,90,160,24)",conv,"(64,1,1,24)",1,SAME,64,7,"(1,90,160,64)",1
6,,stage_1_1_right_b,stage_1_1_right_a,"(1,90,160,64)",depthwise_conv,"(1,3,3,64)",2,SAME,64,6,"(1,45,80,64)",0
7,,stage_1_1_right_c,stage_1_1_right_b,"(1,45,80,64)",conv,"(64,1,1,64)",1,SAME,64,6,"(1,45,80,64)",1
8,module c,stage_2_1_right_a,stage_1_1_clip,"(1,45,80,128)",conv,"(64,1,1,64)",1,SAME,64,7,"(1,45,80,64)",1
9,,stage_2_1_right_b,stage_2_1_right_a,"(1,45,80,64)",depthwise_conv,"(1,3,3,64)",1,SAME,64,5,"(1,45,80,64)",0
10,,stage_2_1_right_c,stage_2_1_right_b,"(1,45,80,64)",conv,"(64,1,1,64)",1,SAME,64,8,"(1,45,80,64)",1
11,module c,stage_2_2_right_a,stage_2_1_clip,"(1,45,80,128)",conv,"(64,1,1,64)",1,SAME,64,7,"(1,45,80,64)",1
12,,stage_2_2_right_b,stage_2_2_right_a,"(1,45,80,64)",depthwise_conv,"(1,3,3,64)",1,SAME,64,5,"(1,45,80,64)",0
13,,stage_2_2_right_c,stage_2_2_right_b,"(1,45,80,64)",conv,"(64,1,1,64)",1,SAME,64,8,"(1,45,80,64)",1
14,module c,stage_2_3_right_a,stage_2_2_clip,"(1,45,80,128)",conv,"(64,1,1,64)",1,SAME,64,7,"(1,45,80,64)",1
15,,stage_2_3_right_b,stage_2_3_right_a,"(1,45,80,64)",depthwise_conv,"(1,3,3,64)",1,SAME,64,6,"(1,45,80,64)",0
16,,stage_2_3_right_c,stage_2_3_right_b,"(1,45,80,64)",conv,"(64,1,1,64)",1,SAME,64,8,"(1,45,80,64)",1
17,module d,stage_3_1_left_a,stage_2_3,"(1,45,80,128)",depthwise_conv,"(1,3,3,128)",2,SAME,128,6,"(1,23,40,128)",0
18,,stage_3_1_left_b,stage_3_1_left_a,"(1,23,40,128)",conv,"(128,1,1,128)",1,SAME,128,7,"(1,23,40,128)",1
19,,stage_3_1_right_a,stage_2_3,"(1,45,80,128)",conv,"(128,1,1,128)",1,SAME,128,8,"(1,45,80,128)",1
